"model_name","dataset","rule_name","threshold_rule","flagged_fraction","f2_score","pr_auc","roc_auc","brier_score","calibration_intercept","calibration_slope","sensitivity","specificity","ppv","npv","threshold","n","events"
"stacked_logistic","internal_test_ensemble","grid",0.01,1,0.446780551905388,0.258630482244232,0.624668157049043,0.114805284110093,0.163618710977344,1.10557873870887,1,0,0.139059304703476,,0.01,489,68
"stacked_logistic","internal_test_ensemble","grid",0.02,1,0.446780551905388,0.258630482244232,0.624668157049043,0.114805284110093,0.163618710977344,1.10557873870887,1,0,0.139059304703476,,0.02,489,68
"stacked_logistic","internal_test_ensemble","grid",0.03,1,0.446780551905388,0.258630482244232,0.624668157049043,0.114805284110093,0.163618710977344,1.10557873870887,1,0,0.139059304703476,,0.03,489,68
"stacked_logistic","internal_test_ensemble","grid",0.04,1,0.446780551905388,0.258630482244232,0.624668157049043,0.114805284110093,0.163618710977344,1.10557873870887,1,0,0.139059304703476,,0.04,489,68
"stacked_logistic","internal_test_ensemble","grid",0.05,1,0.446780551905388,0.258630482244232,0.624668157049043,0.114805284110093,0.163618710977344,1.10557873870887,1,0,0.139059304703476,,0.05,489,68
"stacked_logistic","internal_test_ensemble","grid",0.06,1,0.446780551905388,0.258630482244232,0.624668157049043,0.114805284110093,0.163618710977344,1.10557873870887,1,0,0.139059304703476,,0.06,489,68
"stacked_logistic","internal_test_ensemble","grid",0.07,1,0.446780551905388,0.258630482244232,0.624668157049043,0.114805284110093,0.163618710977344,1.10557873870887,1,0,0.139059304703476,,0.07,489,68
"stacked_logistic","internal_test_ensemble","grid",0.08,1,0.446780551905388,0.258630482244232,0.624668157049043,0.114805284110093,0.163618710977344,1.10557873870887,1,0,0.139059304703476,,0.08,489,68
"stacked_logistic","internal_test_ensemble","grid",0.09,0.961145194274029,0.451482479784367,0.258630482244232,0.624668157049043,0.114805284110093,0.163618710977344,1.10557873870887,0.985294117647059,0.0427553444180523,0.142553191489362,0.947368421052632,0.09,489,68
"stacked_logistic","internal_test_ensemble","grid",0.1,0.815950920245399,0.44709388971684,0.258630482244232,0.624668157049043,0.114805284110093,0.163618710977344,1.10557873870887,0.882352941176471,0.194774346793349,0.150375939849624,0.911111111111111,0.1,489,68
"stacked_logistic","internal_test_ensemble","grid",0.11,0.652351738241309,0.431472081218274,0.258630482244232,0.624668157049043,0.114805284110093,0.163618710977344,1.10557873870887,0.75,0.363420427553444,0.15987460815047,0.9,0.11,489,68
