"size","decay","mean_pr_auc","mean_roc_auc","mean_brier"
3,0.001,0.22282068458667,0.552679600065833,0.246263221551963
3,1e-04,0.203595087262963,0.569798695687953,0.250705708455765
7,0.01,0.194806151732927,0.545304270901909,0.238029412940786
3,0.01,0.189424499967838,0.582637631665569,0.255112377540948
5,0.001,0.188932996198414,0.576138701448321,0.244169580673172
5,0.01,0.186094679457499,0.521860599078341,0.258526590933639
5,1e-04,0.181236867513347,0.560581591507571,0.251426542925283
7,1e-04,0.168641258687771,0.554651497695853,0.251986186861153
7,0.001,0.168566883158163,0.540305608130349,0.244331666582437
