"nrounds","max_depth","eta","subsample","colsample_bytree","mean_pr_auc","mean_roc_auc","mean_brier"
100,2,0.1,0.8,0.8,0.2388881790766,0.584505636932192,0.139520371473507
200,2,0.05,0.8,0.8,0.230236745199151,0.584079781105991,0.138904676531911
100,2,0.05,0.8,0.8,0.222838923054729,0.598484817314022,0.155720427764928
200,4,0.05,0.8,0.8,0.215246388947859,0.560683426596445,0.129036328346082
200,2,0.1,0.8,0.8,0.214843440873586,0.549739754772877,0.135763109311386
200,4,0.1,0.8,0.8,0.206413845025076,0.534012919684003,0.132693210398583
100,4,0.1,0.8,0.8,0.199223594261463,0.557890676431863,0.131816415456725
100,4,0.05,0.8,0.8,0.197499387652606,0.561408615865701,0.137887570542267
