"model_name","status","message","best_pr_auc","best_roc_auc","best_tuning"
"elastic_net","trained","Cross-validation with SMOTE completed",0.288046818209328,0.592586611257406,"alpha=0.5; lambda=0.1"
"random_forest","trained","Cross-validation with SMOTE completed",0.199341142952501,0.595019852699144,"mtry=7"
"xgboost","trained","Cross-validation with SMOTE completed",0.2388881790766,0.584505636932192,"nrounds=100; max_depth=2; eta=0.1; subsample=0.8; colsample_bytree=0.8"
"knn","trained","Cross-validation with SMOTE completed",0.214406248486788,0.557693178077683,"k=11"
"ann","trained","Cross-validation with SMOTE completed",0.231210766433891,0.580237820934826,"size=3; decay=1e-04"
