"size","decay","mean_pr_auc","mean_roc_auc","mean_brier"
3,1e-04,0.233091655799782,0.590766437623437,0.159988940498694
7,1e-04,0.228305647572866,0.607661804641211,0.178097962861589
5,1e-04,0.202795746600908,0.584434660961159,0.189926315939442
5,0.001,0.201238096911555,0.562778246379197,0.188177355095523
3,0.001,0.196665148315837,0.596044375411455,0.162975853456715
7,0.01,0.195009327733333,0.561920877221856,0.182017808103996
3,0.01,0.187827907554152,0.565581797235023,0.171173576951799
5,0.01,0.186914039122148,0.554671041803818,0.19346298674534
7,0.001,0.160762899552871,0.515601341342989,0.217106280179411
