"size","decay","mean_pr_auc","mean_roc_auc","mean_brier"
3,1e-04,0.231210766433891,0.580237820934826,0.263803728405807
7,0.01,0.22960227052184,0.573044560566162,0.257829994684148
7,0.001,0.219048969434502,0.573471445029625,0.257830199665386
5,0.001,0.19842926208955,0.569391355332456,0.268492362578557
3,0.01,0.196469505522216,0.559934064351547,0.301741009348234
3,0.001,0.195268734015203,0.564818548387097,0.276273239578734
5,1e-04,0.189956705135528,0.557519852699144,0.287665609105414
7,1e-04,0.183382832119869,0.535102760862409,0.298179540964472
5,0.01,0.181186391789339,0.538611442560895,0.289695863385094
