"nrounds","max_depth","eta","subsample","colsample_bytree","mean_pr_auc","mean_roc_auc","mean_brier"
100,2,0.1,0.8,0.8,0.213537983963665,0.572631048387097,0.144770574297453
200,2,0.05,0.8,0.8,0.184484905560074,0.56229530118499,0.14699636289414
200,4,0.1,0.8,0.8,0.184423618659477,0.51327353522054,0.138559807776878
100,4,0.1,0.8,0.8,0.183051425815084,0.536446675444371,0.136333017834599
200,2,0.1,0.8,0.8,0.18293687230378,0.534206303489138,0.141104140963976
100,2,0.05,0.8,0.8,0.182355507178893,0.573952847267939,0.162908107370093
200,4,0.05,0.8,0.8,0.18015356806467,0.537857965766952,0.135850682527601
100,4,0.05,0.8,0.8,0.178263466287305,0.538142898288348,0.144739116626397
