"k","mean_pr_auc","mean_roc_auc","mean_brier"
3,0.196294346605519,0.558684270078999,0.282172329992873
5,0.189620931238485,0.543371461487821,0.292868485457403
7,0.188390057895552,0.528498395325872,0.305274208570514
11,0.182293873072758,0.522756027814351,0.304268995734807
9,0.172212367074848,0.521690359611587,0.305410393403425
15,0.164386172627738,0.526877263001975,0.301431600187525
