"size","decay","mean_pr_auc","mean_roc_auc","mean_brier"
3,1e-04,0.198253436824166,0.603176946181698,0.260203915984653
7,0.001,0.196494583918544,0.556595107801185,0.277172490069261
3,0.01,0.182137614182336,0.548031188281764,0.275518065894194
5,0.001,0.181270738251079,0.535373292462146,0.310512652829013
5,1e-04,0.174818703137246,0.572270511026991,0.261152766776173
5,0.01,0.170684538342722,0.526177789664253,0.284077927295109
7,0.01,0.168701016083463,0.521880143186307,0.268845385767216
3,0.001,0.167650716850403,0.544621255760369,0.297623690139827
7,1e-04,0.164254113518726,0.514399893021725,0.303338862307811
