"nrounds","max_depth","eta","subsample","colsample_bytree","mean_pr_auc","mean_roc_auc","mean_brier"
100,2,0.05,0.8,0.8,0.25997477189046,0.59745926596445,0.115537137776945
100,2,0.1,0.8,0.8,0.246003060684821,0.570566573403555,0.118970471852543
200,2,0.05,0.8,0.8,0.237093551750463,0.577174539170507,0.118708809111353
100,4,0.05,0.8,0.8,0.218055146943853,0.567717248189598,0.120049152322482
200,2,0.1,0.8,0.8,0.211186899872313,0.55002263001975,0.12603444707178
200,4,0.05,0.8,0.8,0.203246614418141,0.529171124094799,0.124860279530638
200,4,0.1,0.8,0.8,0.19544398170912,0.543224366359447,0.129327616732957
100,4,0.1,0.8,0.8,0.182179546634014,0.534108582949309,0.128809404687534
