"nrounds","max_depth","eta","subsample","colsample_bytree","mean_pr_auc","mean_roc_auc","mean_brier"
100,2,0.05,0.8,0.8,0.279524038493264,0.614035755431205,0.114214879649472
200,2,0.05,0.8,0.8,0.26461897531194,0.599883763989467,0.116492142977093
100,2,0.1,0.8,0.8,0.262707072546991,0.601169560566162,0.116942942264113
100,4,0.05,0.8,0.8,0.247459128316563,0.586619486504279,0.118118317216592
200,2,0.1,0.8,0.8,0.233289814922969,0.572135245227123,0.122141849114469
200,4,0.05,0.8,0.8,0.226916019293117,0.572896436800527,0.121673044589978
100,4,0.1,0.8,0.8,0.214853561192629,0.55103892363397,0.123849392862063
200,4,0.1,0.8,0.8,0.196163129986297,0.53632426761027,0.130286109940938
