"size","decay","mean_pr_auc","mean_roc_auc","mean_brier"
3,0.01,0.229774848081015,0.57505297481896,0.248948683500302
5,0.01,0.227805163641148,0.583135492100066,0.234597396866237
5,1e-04,0.224990549604938,0.571734076695194,0.242455592257065
7,0.01,0.21617549512222,0.580995926596445,0.209093085935654
3,1e-04,0.203989762418647,0.588657216919026,0.258805338800946
7,1e-04,0.203884965142586,0.560429867511521,0.241535726172792
3,0.001,0.189363633302473,0.566385162936142,0.23853428069887
7,0.001,0.17699292151951,0.543087557603687,0.240138658516522
5,0.001,0.171796599159002,0.543729427254773,0.265715161761244
